name,proportion_male,count
christian,0.99,156233
christiana,0.020000000000000018,2331
christiane,0.020000000000000018,17000
christie,0.06999999999999995,1637
christina,0.020000000000000018,35006
christine,0.010000000000000009,91004
christl,0.040000000000000036,178
christo,0.98,1857
christof,0.99,2019
christoforos,0.99,235
christoph,1,17656
christophe,0.99,90978
christopher,0.99,53539
christos,0.99,5611
christy,0.09999999999999998,3663
chrysanthi,0.030000000000000027,71
chrysothemis,0,1
chrysoula,0,68
chu,0.57,1057
chuanyu,1,3
chukwuebuka,1,63
chukwuma,0.96,314
chun,0.84,1985
chunbo,0.64,14
chunfei,1,5
chung,0.81,1324
chungche,NA,NA
chungtse,NA,NA
chunqing,0.75,8
cian,0.89,305
ciara,0.030000000000000027,2003
ciaran,0.99,1005
